Code;Title;description;language
HES;Higher or Secondary Education Establishments;;en
REC;Research Organisations;;en
PRC;Private for-profit entities (excluding Higher or Secondary Education Establishments);;en
PUB;Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments);;en
OTH;Other;;en
