rcn;code;title;shortTitle;language
664704;EE-11-2015;New ICT-based solutions for energy efficiency;;en
665104;FCT-09-2015;Law Enfocement capabilities topic 5: Identity Management;;en
664655;COMPET-10-2014;Outreach through education;;en
665157;GARRI-8-2014;National Contact Points for quality standards and horizontal issues;;en
664904;MG-4.4-2014;Promoting innovation in the Inland Waterways Transport (IWT) sector;;en
664658;EO-2-2015;Stimulating wider research use of Copernicus Sentinel Data;;en
664560;WASTE-5-2014;Preparing and promoting innovation procurement for resource efficiency;;en
664734;SFS-07a-2014;Traditional resources for agricultural diversity and the food chain ;;en
665134;SEAC-1-2015;Innovative ways to make science education and scientific careers attractive to young people;;en
664810;ICT-25-2015;Generic micro- and nano-electronic technologies;;en
665160;FETOPEN-2-2014;Coordination and Support Activities;;en
664621;EINFRA-5-2015;Centres of Excellence for computing applications;;en
664620;EINFRA-4-2014;Pan-European High Performance Computing infrastructure and services;;en
664701;EE-07-2015;Enhancing the capacity of public authorities to plan and implement sustainable energy policies and measures;;en
665133;SEAC-1-2014;Innovative ways to make science education and scientific careers attractive to young people;;en
664808;ICT-23-2014;Robotics;;en
664706;EE-14-2015;Removing market barriers to the uptake of efficient heating and cooling solutions;;en
664811;ICT-26-2014;Photonics KET;;en
664680;EE-01-2014;Manufacturing of prefabricated modules for renovation of building;;en
665158;YOUNG-5b-2014;Societal and political engagement of young people and their perspectives on Europe;;en
665093;DRS-20-2014;Ethical/Societal Dimension topic 1: Improving protection of Critical infrastructures from insider threats;;en
664708;EE-16-2015;Organisational innovation to increase energy efficiency in industry;;en
664631;INFRASUPP-6-2014;International cooperation for research infrastructures;;en
664590;SC5-13c-2015;Innovation friendly minerals policy framework;;en
664733;SFS-06-2014;Sustainable intensification pathways of agro-food systems in Africa;;en
664789;ICT-04-2015;Customised and low power computing;;en
664663;COMPET-03-2015;Bottom-up space technologies at low TRL;;en
664659;EO-3-2015;Technology developments for competitive imaging from space;;en
664707;EE-15-2015;Ensuring effective implementation of EU product efficiency legislation;;en
665130;DS-05-2015;Trust eServices;;en
664709;EE-17-2015;Driving energy innovation through large buyer groups;;en
665135;SEAC-2-2014;Responsible Research and Innovation in Higher Education Curricula;;en
665137;SEAC-4-2015;EURAXESS outreach to Industry;;en
664548;MSCA-COFUND-2014-DP;Marie Sk?odowska-Curie Co-funding of regional, national and international programmes (COFUND-DP);;en
665164;FETHPC-1-2014;HPC Core Technologies, Programming Environments and Algorithms for Extreme Parallelism and Extreme Data Applications;;en
664788;ICT-03-2014;Advanced Thin, Organic and Large Area Electronics (TOLAE) technologies;;en
664628;INFRASUPP-3-2014;Strengthening the human capital of research infrastructures;;en
664813;ICT-28-2015;Cross-cutting ICT KETs;;en
664700;EE-06-2015;Demand response in blocks of buildings;;en
664588;SC5-12b-2015;Materials under extreme conditions;;en
664688;EE-11-2014;New ICT-based solutions for energy efficiency;;en
664812;ICT-27-2015;Photonics KET;;en
665056;EeB-03-2014;Development of new self-inspection techniques and quality check methodologies for efficient construction processes;;en
665136;SEAC-3-2014;Trans-national operation of the EURAXESS Service network;;en
664546;MSCA-IF-2014-EF;Marie Sk?odowska-Curie Individual Fellowships (IF-EF);;en
664784;ERC-CoG-2014;ERC Consolidator Grant;;en
664660;PROTEC-1-2015;Passive means to reduce the impact of Space Debris;;en
664794;ICT-09-2014;Tools and Methods for Software Development;;en
664639;GALILEO-3-2015;Releasing the potential of EGNSS applications through international cooperation;;en
664698;EE-02-2015;Buildings design for new highly energy performing buildings;;en
665125;BES-14-2014;Ethical Societal Dimension topic 1: Human factors in border control;;en
664793;ICT-08-2015;Boosting public sector productivity and innovation through cloud computing services;;en
664792;ICT-07-2014;Advanced Cloud Infrastructures and Services;;en
