code;title;description;language
WAT;Ressources en eau et gestion;;fr
WAT;Water resources and management;;en
WAT;Recursos hídricos y gestión;;es
SAF;Sicherheit;;de
SAF;Sicurezza;;it
SAF;Bezpieczenstwo;;pl
SAF;Sécurité;;fr
SAF;Safety;"Safety engineering; safety at work; assessment of risk; reliability of components and systems; industrial hazards;; natural hazards; transportation of hazardous materials; accident analysis and reporting.";en
SAF;Seguridad;;es
COO;Koordinierung und Zusammenarbeit;;de
COO;Coordinamento e cooperazione;;it
COO;Koordynacja i wspólpraca;Koordynacja i wspołpraca;pl
COO;Coordination et coopération;;fr
COO;Coordination and Cooperation;Promotion of joint actions, the exchange of information, mobility, sharing of research resources, comparison exercises.;en
COO;Coordinación y Cooperación;;es
RAD;Strahlenschutz;;de
RAD;Protezione contro le radiazioni;;it
RAD;Ochrona przed promieniowaniem;;pl
RAD;Radioprotection;;fr
RAD;Radiation Protection;"Radiation shielding; dosimetry; radiation and radioisotope effects on man, animals, plants and micro-organisms.";en
RAD;Protección contra las radiaciones;;es
CON;Bautechnik;;de
CON;Tecnologia di costruzione;;it
CON;Budownictwo;Budownictwo;pl
CON;Technologie de la construction;;fr
CON;Construction Technology;"Civil engineering; construction equipment; materials, components and methods; structural reliability; fire resistance; sound insulation; architectural design; building regulations; use of steel, wood, cork, concrete etc. for building purposes.";en
CON;Tecnología de la construcción;;es
STA;Normen and Standards;;de
STA;Standard;;it
STA;Standardy;;pl
STA;Normalisation;;fr
STA;Standards;"Technical standards; quality standards; national and international standards; harmonization of standards. (See also ""Reference Materials"")";en
STA;Normas;;es
POL;Strategien;;de
POL;Politiche;;it
POL;Linie polityczne;;pl
POL;Stratégies;;fr
POL;Policies;Formulation, evaluation or application of policies, policy strategies or plans of action for research and development in science and technology.;en
POL;Políticas;;es
NNT;Nanotechnologien und Nanowissenschaften;;de
NNT;Nanotecnologia e nanoscienze;;it
NNT;Nanotechnologie i nanonauki;;pl
NNT;Nanotechnologie et nanosciences;;fr
NNT;Nanotechnology and Nanosciences;;en
NNT;Nanotecnología y nanociencias;;es
SDT;Nachhaltige Entwicklung ;;de
SDT;Sviluppo sostenibile ;;it
SDT;Zrównoważony rozwój ;;pl
SDT;Développement durable ;;fr
SDT;Sustainable development ;;en
SDT;Desarrollo sostenible ;;es
ESV;Energieeinsparung;;de
ESV;Risparmio di energia;;it
ESV;Oszczednosc energii;;pl
ESV;Economie d'énergie;;fr
ESV;Energy Saving;"Energy conservation; increased efficiency of energy use; energy audits; heat transmission and storage; heat pumps; thermal insulation; use of waste heat.";en
ESV;Ahorro energético;;es
SEA;Meeresschätze und Fischerei;;de
SEA;Risorse del mare e Pesca;;it
SEA;Zasoby morza i rybolówstwo;;pl
SEA;Ressources de la mer et pêche;;fr
SEA;Resources of the Sea and Fisheries;"Marine science; oceanography; oceanology; exploitation of the seabed; fisheries; aquaculture.";en
SEA;Recursos marinos y Pesca;;es
AUT;Automatisierung;;de
AUT;Automazione;;it
AUT;Automatyzacja;;pl
AUT;Automatisation;;fr
AUT;Automation;;en
AUT;Automatización;;es
VAS;Veterinär - und Tierwissenschaften ;;de
VAS;Scienze veterinarie e degli animali ;;it
VAS;Weterynaria i nauki o zwierzętach ;;pl
VAS;Sciences vétérinaires et des animaux ;;fr
VAS;Veterinary and animal sciences;;en
VAS;Ciencias veterinarias y de los animales ;;es
EST;Energiespeicherung und Energietransport;;de
EST;Immagazzinamento di energia Trasporto di energia;;it
EST;Magazynowanie energii i transport energii;;pl
EST;Conservation de l'énergie et transport de l'énergie;;fr
EST;Energy Storage and Energy Transport;"The storage, transmission and conversion of energy; use of hydrogen for energy transport; cells; secondary energy vectors.";en
EST;Almacenamiento de energía Transporte de energía;;es
FUS;Kernfusion;;de
FUS;Fusione nucleare;;it
FUS;Synteza jadrowa;Synteza jądrowa;pl
FUS;Fusion nucléaire;;fr
FUS;Nuclear Fusion;"Tokamaks; plasma physics; electron dynamics and confinement; components and materials; instabilities and turbulence; MHD equilibrium; safeguarding techniques; electric and magnetic fields; impurities; ignition; modelling.";en
FUS;Fusión nuclear;;es
ECO;Wirtschaftliche Aspekte;;de
ECO;Aspetti economici;;it
ECO;Aspekty ekonomiczne;Aspekty ekonomiczne;pl
ECO;Aspects économiques;;fr
ECO;Economic Aspects;"Economic sciences; economic analysis and theory; economic aspects of RTD.";en
ECO;Aspectos económicos;;es
BIF;Biobrennstoffe;;de
BIF;Biocarburanti;;it
BIF;Biopaliwa;;pl
BIF;Biocarburants;;fr
BIF;Biofuels;;en
BIF;Biocombustibles;;es
TRA;Verkehr;;de
TRA;Trasporti;;it
TRA;Transport;;pl
TRA;Transports;;fr
TRA;Transport;"Road, track and rail transport; design of vehicles and systems; transportation by sea and inland waterways; air transportation; pipelines; transport infrastructure; prototypes, trial and pilot schemes. (For transportation of hazardous materials see ""Safety"").";en
TRA;Transportes;;es
ELM;Elektronik und Mikroelektronik;;de
ELM;Elettronica e Microelettronica;;it
ELM;Elektronika i mikroelektronika;Elektronika i mikroelektronika;pl
ELM;Electronique et microélectronique;;fr
ELM;Electronics and Microelectronics;"Electronic circuits, components and equipment; semiconductors; magnetic and superconducting materials and devices; power systems; printed circuits and integrated circuits (ICs); microwave technology and waveguides.";en
ELM;Electrónica y Microelectrónica;;es
OTH;Andere;Andere;de
OTH;Altro;Altro;it
OTH;Inny;Inny;pl
OTH;Autre;Autre;fr
OTH;Other;Other;en
OTH;Otro;Otro;es
HFC;Wasserstoff- und Brennstoffzellen;;de
HFC;Idrogeno e pile a combustibile;;it
HFC;Wodór i ogniwa paliwowe;;pl
HFC;Hydrogène et piles à combustible;;fr
HFC;Hydrogen and fuel cells;;en
HFC;Hidrógeno y pilas de combustible;;es
CCC;Klimaforschung und Kohlenstoffkreislauf;;de
CCC;Cambiamento climatico e ricerca sul ciclo del carbonio;;it
CCC;Zmiana klimatu i cykl węglowy;;pl
CCC;Recherche sur les changements climatiques et le cycle du carbone;;fr
CCC;Climate change and Carbon cycle research;;en
CCC;Investigación sobre el cambio climático y el ciclo del carbono;;es
LIF;Biowissenschaften;;de
LIF;Scienze biologiche;;it
LIF;Nauki biologiczne;;pl
LIF;Sciences du vivant;;fr
LIF;Life Sciences;"Biological sciences not included elsewhere; biochemistry; genetics; toxicology.";en
LIF;Ciencias de la vida;;es
IBI;Industrielle Biotechnologie;;de
IBI;Biotecnologia industriale;;it
IBI;Biotechnologia przemysłowa;;pl
IBI;Biotechnologie industrielle;;fr
IBI;Industrial biotech;;en
IBI;Biotecnología industrial;;es
BUS;Businessaspekte;;de
BUS;Aspetti commerciali;;it
BUS;Aspekty biznesowe;;pl
BUS;Aspects commerciaux;;fr
BUS;Business aspects;;en
BUS;Aspectos comerciales;;es
AGR;Landwirtschaft;;de
AGR;Agricoltura;;it
AGR;Rolnictwo;;pl
AGR;Agriculture;;fr
AGR;Agriculture;"Livestock production, crops and crop production; managerial and economic aspects of agriculture; veterinary medicine; animal husbandry; control of weeds, pests and diseases of plants; land use; forestry; agro-technology; agro-industrial research.";en
AGR;Agricultura;;es
PMM;Projektmanagementmethoden;;de
PMM;Metodologie di gestione di progetti ;;it
PMM;Metodologia zarządzania projektami ;;pl
PMM;Méthodologies de gestion de projet ;;fr
PMM;Project management methodologies ;;en
PMM;Metodologías de gestión de proyectos ;;es
TEL;Telekommunikation;;de
TEL;Telecomunicazioni;;it
TEL;Telekomunikacja;;pl
TEL;Télécommunications;;fr
TEL;Telecommunications;"Communication systems based on electromagnetic waves; radio and television equipment and transmissions; high-definition television (HDTV); satellite communications; integrated broadband communications (IBC); remote sensing; radar; network value-added services.";en
TEL;Telecomunicaciones;;es
REG;Regionalentwicklung;;de
REG;Sviluppo regionale;;it
REG;Rozwój regionalny;;pl
REG;Développement régional;;fr
REG;Regional Development;RTD activities related to regional development and the restructuring of economic sectors.;en
REG;Desarrollo regional;;es
INF;Information und Medien;;de
INF;Informazione e mass media;;it
INF;Informacje i media;Informacje, media;pl
INF;Information et médias;;fr
INF;Information and Media;"Information services; the media industry; library sciences.";en
INF;Información y Medios de comunicación;;es
OET;Sonstige Energiefragen;;de
OET;Altri temi relativi all'energia;;it
OET;Inne zagadnienia dotyczace energii;;pl
